power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
250.00, 38.24, 0, 0, 16130, 15350, 780
250.00, 38.24, 0, 0, 16130, 15350, 780
250.00, 38.14, 0, 0, 16130, 15350, 780
250.00, 38.14, 0, 0, 16130, 15350, 780
250.00, 38.14, 0, 0, 16130, 15350, 780
250.00, 38.14, 0, 0, 16130, 15350, 780
250.00, 38.14, 0, 0, 16130, 15350, 780
250.00, 38.14, 0, 0, 16130, 15350, 780
250.00, 38.14, 0, 0, 16130, 15350, 780
250.00, 38.14, 0, 0, 16130, 15350, 780
250.00, 38.14, 0, 0, 16130, 15350, 780
250.00, 38.14, 0, 0, 16130, 15350, 780
250.00, 38.14, 0, 0, 16130, 15350, 780
250.00, 38.14, 0, 0, 16130, 15350, 780
250.00, 38.14, 0, 0, 16130, 15350, 780
250.00, 38.14, 0, 0, 16130, 15350, 780
250.00, 38.14, 0, 0, 16130, 15350, 780
250.00, 38.14, 0, 0, 16130, 15350, 780
250.00, 38.14, 0, 0, 16130, 15350, 780
250.00, 38.14, 0, 0, 16130, 15350, 780
250.00, 38.24, 0, 0, 16130, 15350, 780
250.00, 38.24, 0, 0, 16130, 15350, 780
250.00, 38.24, 0, 0, 16130, 15350, 780
250.00, 38.24, 0, 0, 16130, 15350, 780
250.00, 38.24, 0, 0, 16130, 15350, 780
250.00, 38.24, 0, 0, 16130, 15350, 780
250.00, 38.24, 0, 0, 16130, 15350, 780
250.00, 38.24, 0, 0, 16130, 15350, 780
250.00, 38.24, 0, 0, 16130, 15350, 780
250.00, 38.24, 0, 0, 16130, 15350, 780
250.00, 38.24, 0, 0, 16130, 15350, 780
250.00, 38.24, 0, 0, 16130, 15350, 780
250.00, 38.24, 0, 0, 16130, 15350, 780
250.00, 38.24, 0, 0, 16130, 15350, 780
250.00, 38.24, 0, 0, 16130, 15350, 780
250.00, 38.24, 0, 0, 16130, 15350, 780
250.00, 38.24, 0, 0, 16130, 15350, 780
250.00, 38.14, 0, 0, 16130, 15350, 780
250.00, 38.14, 0, 0, 16130, 15350, 780
250.00, 38.14, 0, 0, 16130, 15350, 780
250.00, 38.14, 0, 0, 16130, 15350, 780
250.00, 38.14, 0, 0, 16130, 15350, 780
250.00, 38.14, 0, 0, 16130, 15350, 780
250.00, 38.14, 0, 0, 16130, 15352, 778
250.00, 38.14, 0, 0, 16130, 15352, 778
250.00, 38.24, 0, 0, 16130, 15352, 778
250.00, 38.24, 0, 0, 16130, 15354, 776
250.00, 38.24, 0, 0, 16130, 15354, 776
250.00, 38.24, 0, 0, 16130, 15354, 776
250.00, 38.24, 0, 0, 16130, 15354, 776
250.00, 38.24, 0, 0, 16130, 15356, 774
250.00, 38.24, 0, 0, 16130, 15356, 774
250.00, 38.24, 0, 0, 16130, 15356, 774
250.00, 38.14, 0, 0, 16130, 15356, 774
250.00, 38.14, 0, 0, 16130, 15358, 772
250.00, 38.14, 0, 0, 16130, 15358, 772
250.00, 38.14, 0, 0, 16130, 15358, 772
250.00, 38.14, 0, 0, 16130, 15360, 770
250.00, 38.14, 0, 0, 16130, 15360, 770
250.00, 38.14, 0, 0, 16130, 15362, 768
250.00, 38.14, 0, 0, 16130, 15362, 768
250.00, 38.24, 0, 0, 16130, 15362, 768
250.00, 38.24, 0, 0, 16130, 15364, 766
250.00, 38.24, 0, 0, 16130, 15364, 766
250.00, 38.24, 0, 0, 16130, 15364, 766
250.00, 38.24, 0, 0, 16130, 15364, 766
250.00, 38.24, 0, 0, 16130, 15364, 766
250.00, 38.24, 0, 0, 16130, 15364, 766
250.00, 38.24, 0, 0, 16130, 15364, 766
250.00, 38.24, 0, 0, 16130, 15366, 764
250.00, 38.24, 0, 0, 16130, 15368, 762
250.00, 38.24, 0, 0, 16130, 15368, 762
250.00, 38.24, 0, 0, 16130, 15370, 760
250.00, 38.24, 0, 0, 16130, 15370, 760
250.00, 38.24, 0, 0, 16130, 15370, 760
250.00, 38.24, 0, 0, 16130, 15370, 760
250.00, 38.24, 0, 0, 16130, 15370, 760
250.00, 38.33, 0, 0, 16130, 15370, 760
250.00, 38.33, 0, 0, 16130, 15370, 760
250.00, 38.33, 0, 0, 16130, 15370, 760
250.00, 38.33, 0, 0, 16130, 15370, 760
250.00, 38.33, 0, 0, 16130, 15372, 758
250.00, 38.33, 0, 0, 16130, 15372, 758
250.00, 38.33, 0, 0, 16130, 15372, 758
250.00, 38.33, 0, 0, 16130, 15372, 758
250.00, 38.33, 0, 0, 16130, 15372, 758
250.00, 38.24, 0, 0, 16130, 15374, 756
250.00, 38.24, 0, 0, 16130, 15374, 756
250.00, 38.24, 0, 0, 16130, 15376, 754
250.00, 38.24, 0, 0, 16130, 15376, 754
250.00, 38.24, 0, 0, 16130, 15376, 754
250.00, 38.24, 0, 0, 16130, 15378, 752
250.00, 38.24, 0, 0, 16130, 15378, 752
250.00, 38.24, 0, 0, 16130, 15378, 752
250.00, 38.24, 0, 0, 16130, 15378, 752
250.00, 38.24, 0, 0, 16130, 15380, 750
250.00, 38.24, 0, 0, 16130, 15380, 750
250.00, 38.24, 6, 0, 16130, 15380, 750
250.00, 38.24, 6, 0, 16130, 15380, 750
250.00, 38.24, 6, 0, 16130, 15380, 750
250.00, 38.24, 6, 0, 16130, 15380, 750
250.00, 38.24, 6, 0, 16130, 15380, 750
250.00, 38.24, 6, 0, 16130, 15382, 748
250.00, 38.24, 6, 0, 16130, 15382, 748
250.00, 38.24, 6, 0, 16130, 15382, 748
250.00, 38.24, 6, 0, 16130, 15382, 748
250.00, 38.24, 6, 0, 16130, 15382, 748
250.00, 38.24, 6, 0, 16130, 15384, 746
250.00, 38.24, 6, 0, 16130, 15384, 746
250.00, 38.24, 6, 0, 16130, 15384, 746
250.00, 38.24, 6, 0, 16130, 15384, 746
250.00, 38.14, 6, 0, 16130, 15384, 746
250.00, 38.14, 6, 0, 16130, 15386, 744
250.00, 38.14, 6, 0, 16130, 15388, 742
250.00, 38.14, 6, 0, 16130, 15388, 742
