power.limit [W], power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
250.00, 37.73, 10, 1, 16130, 15350, 780
250.00, 37.74, 10, 1, 16130, 15350, 780
250.00, 37.74, 10, 1, 16130, 15350, 780
250.00, 37.74, 10, 1, 16130, 15350, 780
250.00, 37.74, 10, 1, 16130, 15350, 780
250.00, 37.74, 10, 1, 16130, 15350, 780
250.00, 37.74, 10, 1, 16130, 15350, 780
250.00, 37.74, 10, 1, 16130, 15350, 780
250.00, 37.74, 10, 1, 16130, 15350, 780
250.00, 37.75, 10, 1, 16130, 15350, 780
250.00, 37.75, 10, 1, 16130, 15350, 780
250.00, 37.75, 10, 1, 16130, 15350, 780
250.00, 37.75, 10, 1, 16130, 15350, 780
250.00, 37.75, 10, 1, 16130, 15350, 780
250.00, 37.75, 10, 1, 16130, 15350, 780
250.00, 37.75, 10, 1, 16130, 15350, 780
250.00, 37.75, 10, 1, 16130, 15350, 780
250.00, 37.73, 10, 1, 16130, 15350, 780
250.00, 37.73, 10, 1, 16130, 15350, 780
250.00, 37.73, 10, 1, 16130, 15350, 780
250.00, 37.73, 10, 1, 16130, 15350, 780
250.00, 37.73, 10, 1, 16130, 15350, 780
250.00, 37.73, 10, 1, 16130, 15350, 780
250.00, 37.73, 10, 1, 16130, 15350, 780
250.00, 37.73, 10, 1, 16130, 15350, 780
250.00, 37.73, 10, 1, 16130, 15350, 780
250.00, 37.73, 10, 1, 16130, 15350, 780
250.00, 37.73, 10, 1, 16130, 15350, 780
250.00, 37.73, 10, 1, 16130, 15350, 780
250.00, 37.73, 10, 1, 16130, 15350, 780
250.00, 37.73, 10, 1, 16130, 15350, 780
250.00, 37.73, 10, 1, 16130, 15350, 780
250.00, 37.73, 10, 1, 16130, 15350, 780
250.00, 37.74, 10, 1, 16130, 15350, 780
250.00, 37.74, 10, 1, 16130, 15350, 780
250.00, 37.74, 10, 1, 16130, 15350, 780
250.00, 37.74, 10, 1, 16130, 15350, 780
250.00, 37.74, 10, 1, 16130, 15350, 780
250.00, 37.74, 10, 1, 16130, 15350, 780
250.00, 37.74, 10, 1, 16130, 15350, 780
250.00, 37.74, 10, 1, 16130, 15350, 780
250.00, 37.74, 10, 1, 16130, 15350, 780
250.00, 37.74, 10, 1, 16130, 15350, 780
250.00, 37.74, 10, 1, 16130, 15350, 780
250.00, 37.74, 10, 1, 16130, 15350, 780
250.00, 37.74, 10, 1, 16130, 15350, 780
250.00, 37.74, 10, 1, 16130, 15350, 780
250.00, 37.74, 10, 1, 16130, 15350, 780
250.00, 37.74, 10, 1, 16130, 15350, 780
250.00, 37.73, 10, 1, 16130, 15350, 780
250.00, 37.73, 10, 1, 16130, 15350, 780
250.00, 37.73, 10, 1, 16130, 15350, 780
250.00, 37.73, 10, 1, 16130, 15350, 780
250.00, 37.73, 10, 1, 16130, 15350, 780
250.00, 37.73, 10, 1, 16130, 15350, 780
250.00, 37.73, 10, 1, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.73, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.74, 0, 0, 16130, 15350, 780
250.00, 37.75, 0, 0, 16130, 15350, 780
250.00, 37.75, 0, 0, 16130, 15350, 780
250.00, 37.75, 0, 0, 16130, 15350, 780
